,state,county,cousub,county name,state initials,rent50_0_2018,rent50_0_2019,rent50_1_2018,rent50_1_2019,rent50_2_2018,rent50_2_2019,rent50_3_2018,rent50_3_2019,rent50_4_2018,rent50_4_2019,pop2010_2018,pop2010_2019,hu2010_2018,hu2010_2019
3867,48,81,99999,Coke County,TX,541,526.0,568,529.0,716,700.0,898,877.0,1120,1079.0,3320.0,3320.0,2667.0,2667.0
3868,48,83,99999,Coleman County,TX,521,526.0,524,529.0,697,700.0,946,943.0,949,946.0,8895.0,8895.0,5543.0,5543.0
3869,48,85,99999,Collin County,TX,789,905.0,948,1070.0,1163,1300.0,1563,1732.0,2004,2251.0,782341.0,782341.0,300960.0,300960.0
3870,48,87,99999,Collingsworth County,TX,599,532.0,629,563.0,792,708.0,993,887.0,1239,1091.0,3057.0,3057.0,1616.0,1616.0
3871,48,89,99999,Colorado County,TX,527,530.0,546,533.0,697,705.0,1014,1019.0,1228,1238.0,20874.0,20874.0,10527.0,10527.0
3872,48,91,99999,Comal County,TX,691,738.0,853,905.0,1066,1126.0,1407,1479.0,1708,1811.0,108472.0,108472.0,47108.0,47108.0
3873,48,93,99999,Comanche County,TX,527,526.0,573,610.0,697,700.0,1009,1012.0,1090,1079.0,13974.0,13974.0,7223.0,7223.0
3874,48,95,99999,Concho County,TX,599,627.0,629,631.0,792,835.0,1051,1046.0,1239,1287.0,4087.0,4087.0,1637.0,1637.0
3875,48,97,99999,Cooke County,TX,645,665.0,652,705.0,853,885.0,1115,1192.0,1162,1196.0,38437.0,38437.0,16606.0,16606.0
3876,48,99,99999,Coryell County,TX,609,622.0,613,626.0,815,823.0,1161,1186.0,1435,1446.0,75388.0,75388.0,25178.0,25178.0
3877,48,101,99999,Cottle County,TX,678,677.0,712,716.0,897,901.0,1190,1197.0,1403,1388.0,1505.0,1505.0,968.0,968.0
3878,48,103,99999,Crane County,TX,534,526.0,560,557.0,706,700.0,1027,1012.0,1104,1079.0,4375.0,4375.0,1632.0,1632.0
3879,48,105,99999,Crockett County,TX,527,526.0,553,557.0,697,700.0,1014,1012.0,1090,1079.0,3719.0,3719.0,1866.0,1866.0
3880,48,107,99999,Crosby County,TX,631,668.0,733,764.0,896,926.0,1303,1339.0,1578,1626.0,6059.0,6059.0,2902.0,2902.0
3881,48,109,99999,Culberson County,TX,599,609.0,629,704.0,792,810.0,1051,1076.0,1239,1248.0,2398.0,2398.0,1137.0,1137.0
3882,48,111,99999,Dallam County,TX,612,633.0,705,735.0,810,842.0,1046,1055.0,1267,1297.0,6703.0,6703.0,2827.0,2827.0
3883,48,113,99999,Dallas County,TX,789,905.0,948,1070.0,1163,1300.0,1563,1732.0,2004,2251.0,2368139.0,2368139.0,943257.0,943257.0
3884,48,115,99999,Dawson County,TX,527,526.0,536,611.0,697,700.0,1014,1012.0,1090,1079.0,13833.0,13833.0,5220.0,5220.0
3885,48,117,99999,Deaf Smith County,TX,613,634.0,617,638.0,821,844.0,1060,1075.0,1118,1141.0,19372.0,19372.0,7077.0,7077.0
3886,48,119,99999,Delta County,TX,536,530.0,539,533.0,717,705.0,1043,949.0,1193,953.0,5231.0,5231.0,2458.0,2458.0
3887,48,121,99999,Denton County,TX,789,905.0,948,1070.0,1163,1300.0,1563,1732.0,2004,2251.0,662614.0,662614.0,256139.0,256139.0
3888,48,123,99999,DeWitt County,TX,580,602.0,583,606.0,776,801.0,1097,1079.0,1214,1234.0,20097.0,20097.0,9176.0,9176.0
3889,48,125,99999,Dickens County,TX,527,526.0,607,611.0,697,700.0,924,930.0,1090,1079.0,2444.0,2444.0,1282.0,1282.0
3890,48,127,99999,Dimmit County,TX,599,609.0,629,644.0,792,810.0,1051,1076.0,1239,1248.0,9996.0,9996.0,4350.0,4350.0
3891,48,129,99999,Donley County,TX,521,529.0,524,548.0,697,704.0,1014,1018.0,1090,1085.0,3677.0,3677.0,2142.0,2142.0
3892,48,131,99999,Duval County,TX,623,578.0,654,611.0,824,769.0,1033,1047.0,1289,1050.0,11782.0,11782.0,5523.0,5523.0
3893,48,133,99999,Eastland County,TX,469,462.0,526,529.0,699,700.0,879,877.0,952,946.0,18583.0,18583.0,10258.0,10258.0
3894,48,135,99999,Ector County,TX,763,860.0,943,991.0,1176,1261.0,1474,1580.0,1931,2101.0,137130.0,137130.0,53027.0,53027.0
3895,48,137,99999,Edwards County,TX,599,609.0,629,644.0,792,810.0,1051,1076.0,1239,1248.0,2002.0,2002.0,1606.0,1606.0
3896,48,139,99999,Ellis County,TX,789,905.0,948,1070.0,1163,1300.0,1563,1732.0,2004,2251.0,149610.0,149610.0,54365.0,54365.0
3897,48,141,99999,El Paso County,TX,578,576.0,743,732.0,906,897.0,1302,1283.0,1554,1529.0,800647.0,800647.0,270307.0,270307.0
3898,48,143,99999,Erath County,TX,626,644.0,691,706.0,828,857.0,1124,1154.0,1128,1158.0,37890.0,37890.0,16987.0,16987.0
3899,48,145,99999,Falls County,TX,475,496.0,540,538.0,718,711.0,900,891.0,1163,1133.0,17866.0,17866.0,7724.0,7724.0
3900,48,147,99999,Fannin County,TX,507,533.0,598,627.0,795,830.0,1132,1177.0,1296,1341.0,33915.0,33915.0,14191.0,14191.0
3901,48,149,99999,Fayette County,TX,592,615.0,605,637.0,783,818.0,1139,1183.0,1225,1260.0,24554.0,24554.0,13868.0,13868.0
3902,48,151,99999,Fisher County,TX,527,526.0,553,557.0,697,700.0,926,937.0,1090,1079.0,3974.0,3974.0,2212.0,2212.0
3903,48,153,99999,Floyd County,TX,528,565.0,609,657.0,699,752.0,936,942.0,1089,1090.0,6446.0,6446.0,3004.0,3004.0
3904,48,155,99999,Foard County,TX,527,609.0,553,644.0,697,810.0,924,1076.0,1090,1248.0,1336.0,1336.0,789.0,789.0
3905,48,157,99999,Fort Bend County,TX,830,874.0,936,976.0,1146,1188.0,1565,1624.0,1982,2041.0,585375.0,585375.0,197030.0,197030.0
3906,48,159,99999,Franklin County,TX,549,563.0,576,585.0,726,749.0,910,944.0,1279,1316.0,10605.0,10605.0,5770.0,5770.0
3907,48,161,99999,Freestone County,TX,528,526.0,586,577.0,699,700.0,1017,1012.0,1231,1230.0,19816.0,19816.0,9265.0,9265.0
3908,48,163,99999,Frio County,TX,549,626.0,553,642.0,735,735.0,1004,967.0,1295,1291.0,17217.0,17217.0,5846.0,5846.0
3909,48,165,99999,Gaines County,TX,529,527.0,556,557.0,700,701.0,1018,1014.0,1233,1231.0,17526.0,17526.0,6301.0,6301.0
3910,48,167,99999,Galveston County,TX,830,874.0,936,976.0,1146,1188.0,1565,1624.0,1982,2041.0,291309.0,291309.0,132492.0,132492.0
3911,48,169,99999,Garza County,TX,527,551.0,553,583.0,697,733.0,1014,1060.0,1228,1287.0,6461.0,6461.0,2237.0,2237.0
3912,48,171,99999,Gillespie County,TX,770,770.0,775,774.0,1031,1024.0,1421,1433.0,1543,1546.0,24837.0,24837.0,12778.0,12778.0
3913,48,173,99999,Glasscock County,TX,599,609.0,629,644.0,792,810.0,1051,1076.0,1239,1248.0,1226.0,1226.0,580.0,580.0
3914,48,175,99999,Goliad County,TX,758,733.0,792,830.0,970,1016.0,1293,1324.0,1333,1406.0,7210.0,7210.0,3710.0,3710.0
3915,48,177,99999,Gonzales County,TX,544,576.0,548,580.0,729,767.0,936,1057.0,1140,1182.0,19807.0,19807.0,8794.0,8794.0
3916,48,179,99999,Gray County,TX,626,613.0,630,617.0,787,816.0,987,1024.0,1231,1257.0,22535.0,22535.0,10158.0,10158.0
3917,48,181,99999,Grayson County,TX,601,635.0,724,744.0,918,938.0,1249,1274.0,1383,1424.0,120877.0,120877.0,53727.0,53727.0
3918,48,183,99999,Gregg County,TX,648,621.0,794,813.0,945,966.0,1217,1268.0,1476,1519.0,121730.0,121730.0,49514.0,49514.0
3919,48,185,99999,Grimes County,TX,579,595.0,583,599.0,775,792.0,1052,1123.0,1056,1220.0,26604.0,26604.0,10917.0,10917.0
3920,48,187,99999,Guadalupe County,TX,691,738.0,853,905.0,1066,1126.0,1407,1479.0,1708,1811.0,131533.0,131533.0,50015.0,50015.0
3921,48,189,99999,Hale County,TX,455,450.0,596,602.0,713,700.0,1024,1012.0,1115,1079.0,36273.0,36273.0,13541.0,13541.0
3922,48,191,99999,Hall County,TX,527,526.0,581,568.0,697,700.0,1014,1012.0,1090,1079.0,3353.0,3353.0,1943.0,1943.0
3923,48,193,99999,Hamilton County,TX,573,572.0,577,612.0,767,761.0,1017,1011.0,1200,1173.0,8517.0,8517.0,4566.0,4566.0
3924,48,195,99999,Hansford County,TX,562,582.0,567,606.0,744,775.0,933,971.0,1164,1194.0,5613.0,5613.0,2338.0,2338.0
