,state,county name,County seat,state initial,studio_2021,bedroom_1_2021,bedroom_2_2021,bedroom_3_2021,bedroom_4_2021,lat,lng,coordinates,Distance (miles)
23,13,Heard County,Franklin,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.2776182,-85.0979973,"(33.2776182, -85.0979973)",58
24,13,Henry County,McDonough,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.4473361,-84.1468616,"(33.4473361, -84.1468616)",30
25,13,Jasper County,Monticello,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.3048479,-83.6832289,"(33.3048479, -83.6832289)",61
26,13,Newton County,Covington,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.5967815,-83.8601827,"(33.5967815, -83.8601827)",35
27,13,Paulding County,Dallas,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.9244531,-84.8413056,"(33.9244531, -84.8413056)",32
28,13,Pickens County,Jasper,GA,1101.0,1126.0,1284.0,1615.0,1976.0,34.4695524,-84.4289888,"(34.4695524, -84.4289888)",60
29,13,Pike County,Zebulon,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.1023454,-84.3426997,"(33.1023454, -84.3426997)",48
30,13,Rockdale County,Conyers,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.6676103,-84.01769039999999,"(33.6676103, -84.01769039999999)",24
31,13,Spalding County,Griffin,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.2467807,-84.2640904,"(33.2467807, -84.2640904)",45
32,13,Walton County,Monroe,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.7948364,-83.713229,"(33.7948364, -83.713229)",46
33,13,Butts County,Jackson,GA,675.0,680.0,896.0,1201.0,1400.0,33.2945651,-83.96602089999999,"(33.2945651, -83.96602089999999)",50
34,13,Haralson County,Buchanan,GA,687.0,691.0,830.0,1116.0,1391.0,33.8021734,-85.1900624,"(33.8021734, -85.1900624)",55
35,13,Lamar County,Barnesville,GA,668.0,683.0,779.0,1011.0,1201.0,33.0545709,-84.15574950000001,"(33.0545709, -84.15574950000001)",60
36,13,Meriwether County,Greenville,GA,667.0,672.0,885.0,1197.0,1249.0,33.0287373,-84.7129848,"(33.0287373, -84.7129848)",61
37,13,Morgan County,Madison,GA,684.0,689.0,908.0,1181.0,1572.0,33.5956813,-83.467944,"(33.5956813, -83.467944)",59
38,13,Burke County,Waynesboro,GA,689.0,767.0,883.0,1200.0,1529.0,33.0898731,-82.0156736,"(33.0898731, -82.0156736)",156
39,13,Columbia County,Appling,GA,689.0,767.0,883.0,1200.0,1529.0,33.54609000000001,-82.3163154,"(33.54609000000001, -82.3163154)",129
